Cidades;CEP;PopulaçãoEstimada;PopulaçãoUltimoCenso;DensidadeDemografica;CodigoMunicipio;Gentilico;Prefeito;Classificação
Aguanil;37273-000;"4.557
    pessoas";"4.054
    pessoas";"17,47
    hab/km²";3100807;aguanilense;JOSE MARCIO DE OLIVEIRA;1
Aiuruoca;37450-000;"5.949
    pessoas";"6.162
    pessoas";"9,48
    hab/km²";3101201;aiuruocano;ERLISSON VITOR LOPES;1
Alagoa;37458-000;"2.657
    pessoas";"2.709
    pessoas";"16,79
    hab/km²";3101300;alagoense;JULIANO DINIZ DE OLIVEIRA;1
Albertina;37596-000;"3.015
    pessoas";"2.913
    pessoas";"50,22
    hab/km²";3101409;albertinense;JOÃO PAULO FACANALI DE OLIVEIRA;1
Alpinópolis;37940-000;"20.059
    pessoas";"18.488
    pessoas";"40,66
    hab/km²";3101904;alpinopolense;RAFAEL HENRIQUE DA SILVA FREIRE;2
Alterosa;37145-000;"14.566
    pessoas";"13.717
    pessoas";"37,89
    hab/km²";3102001;alterosense;MARCELO NUNES DE SOUZA;1
Andradas;37795-000;"41.704
    pessoas";"37.270
    pessoas";"79,40
    hab/km²";3102605;andradense;MARGOT NAVARRO GRAZIANI PIOLI;3
Andrelândia;37300-000;"12.189
    pessoas";"12.173
    pessoas";"12,11
    hab/km²";3102803;andrelandense;FRANCISCO CARLOS RIVELLI;1
Arantina;37360-000;"2.779
    pessoas";"2.823
    pessoas";"31,57
    hab/km²";3103603;arantinense;EDIMAR LUIS DE OLIVEIRA;1
Arceburgo;37820-000;"10.990
    pessoas";"9.509
    pessoas";"58,38
    hab/km²";3104106;arceburguense;GILSON PEREIRA DE MELLO;1
Areado;37140-000;"15.288
    pessoas";"13.731
    pessoas";"48,50
    hab/km²";3104304;areadense;DOUGLAS ÁVILA MOREIRA;2
Baependi;37443-000;"19.249
    pessoas";"18.307
    pessoas";"24,39
    hab/km²";3104908;baependiano;DOUGLAS STADUTO SOUZA;2
Bandeira do Sul;37740-000;"5.808
    pessoas";"5.338
    pessoas";"113,41
    hab/km²";3105301;bandeirante-do-sul;EDERVAN LEANDRO DE FREITAS;1
Boa Esperança;37170-000;"40.308
    pessoas";"38.516
    pessoas";"44,75
    hab/km²";3107109;esperancense;HIDERALDO HENRIQUE SILVA;3
Bocaina de Minas;37340-000;"5.088
    pessoas";"5.007
    pessoas";"9,94
    hab/km²";3107208;bocainense;LUZIMAR DE MOURA BENFICA;1
Bom Jardim de Minas;37310-000;"6.444
    pessoas";"6.501
    pessoas";"15,78
    hab/km²";3107505;bom-jardinense;JOAQUIM LAÉRCIO RODRIGUES;1
Bom Jesus da Penha;37948-000;"4.270
    pessoas";"3.887
    pessoas";"18,66
    hab/km²";3107604;bom-jesuense;NEI ANDRÉ FREIRE;1
Bom Repouso;37610-000;"10.527
    pessoas";"10.457
    pessoas";"45,50
    hab/km²";3107901;bom-repousense;EDMILSON ANDRADE;1
Bom Sucesso;37220-000;"17.612
    pessoas";"17.243
    pessoas";"24,46
    hab/km²";3108008;bom-sucessense;PORFÍRIO ROBERTO DA SILVA;2
Borda da Mata;37564-000;"19.809
    pessoas";"17.118
    pessoas";"56,85
    hab/km²";3108305;borda-matense;AFONSO RAIMUNDO DE SOUZA;2
Botelhos;37720-000;"14.927
    pessoas";"14.920
    pessoas";"44,66
    hab/km²";3108404;botelhense;EDUARDO JOSE ALVES DE OLIVEIRA;1
Brazópolis;37530-000;"14.364
    pessoas";"14.661
    pessoas";"39,87
    hab/km²";3108909;brazopolense;CARLOS ALBERTO MORAIS;1
Bueno Brandão;37578-000;"10.982
    pessoas";"10.892
    pessoas";"30,58
    hab/km²";3109105;bueno-brandense;SILVIO ANTONIO FELIX;1
Cabo Verde;37880-000;"14.074
    pessoas";"13.823
    pessoas";"37,54
    hab/km²";3109501;cabo-verdense;CLÁUDIO ANTÔNIO PALMA;1
Cachoeira de Minas;37545-000;"11.609
    pessoas";"11.034
    pessoas";"36,27
    hab/km²";3109709;cachoeirense;"DIRCEU D&apos;ANGELO DE FARIA";1
Caldas;37780-000;"14.600
    pessoas";"13.633
    pessoas";"19,16
    hab/km²";3110301;caldense;AILTON PEREIRA GOULART;1
Camanducaia;37650-000;"21.831
    pessoas";"21.080
    pessoas";"39,89
    hab/km²";3110509;camanducaiense;RODRIGO ALVES DE OLIVEIRA;2
Cambuquira;37420-000;"12.810
    pessoas";"12.602
    pessoas";"51,15
    hab/km²";3110707;cambuquirense;FABRICIO DOS SANTOS SIMONI;1
Cambuí;37600-000;"30.068
    pessoas";"26.488
    pessoas";"108,31
    hab/km²";3110608;cambuiense;TALES TADEU TAVARES;3
Campanha;37400-000;"16.855
    pessoas";"15.433
    pessoas";"45,99
    hab/km²";3110905;campanhense;LÁZARO ROBERTO DA SILVA;2
Campestre;37730-000;"21.052
    pessoas";"20.686
    pessoas";"35,80
    hab/km²";3111002;campestrense;NIVALDO DONIZETE MUNIZ;2
Campo Belo;37270-000;"54.338
    pessoas";"51.544
    pessoas";"97,58
    hab/km²";3111200;campo-belense;ALISSON DE ASSIS CARVALHO;3
Campo do Meio;37165-000;"11.648
    pessoas";"11.476
    pessoas";"41,67
    hab/km²";3111309;campo-meense;SAMUEL AZEVEDO MARINHO;1
Campos Gerais;37160-000;"28.908
    pessoas";"27.600
    pessoas";"35,87
    hab/km²";3111606;campos-geraiense;MIRO LUCIO PEREIRA;2
Cana Verde;37267-000;"5.585
    pessoas";"5.589
    pessoas";"26,27
    hab/km²";3111903;cana-verdense;AENDER ANASTACIO DE MORAIS;1
Candeias;37280-000;"14.890
    pessoas";"14.595
    pessoas";"20,26
    hab/km²";3112000;candeense;RODRIGO MORAES LAMOUNIER;1
Capetinga;37993-000;"6.860
    pessoas";"7.089
    pessoas";"23,79
    hab/km²";3112406;capetinguense;LUIZ CÉSAR GUILHERME;1
Capitólio;37930-000;"8.693
    pessoas";"8.183
    pessoas";"15,68
    hab/km²";3112802;capitolino;CRISTIANO GERALDO DA SILVA;1
Careaçu;37582-000;"6.826
    pessoas";"6.298
    pessoas";"34,79
    hab/km²";3113602;careaçuense;TOVAR DOS SANTOS BARROSO;1
Carmo da Cachoeira;37225-000;"12.193
    pessoas";"11.836
    pessoas";"23,38
    hab/km²";3113909;carmo-cachoeirense;HELCIO ANTONIO CHAGAS REIS;1
Carmo de Minas;37472-000;"15.031
    pessoas";"13.750
    pessoas";"42,66
    hab/km²";3114105;carmoense;DARCI PALMA DE MELO;2
Carmo do Rio Claro;37150-000;"21.310
    pessoas";"20.426
    pessoas";"19,17
    hab/km²";3114402;carmelitano;FILIPE CARDOSO CARIELO;2
Carrancas;37245-000;"4.052
    pessoas";"3.948
    pessoas";"5,42
    hab/km²";3114600;carranquense;HELY ANDRADE ALVES;1
Carvalhos;37456-000;"4.445
    pessoas";"4.556
    pessoas";"16,14
    hab/km²";3114808;carvalhense;VALMIR SIQUEIRA DA SILVA;1
Carvalhópolis;37760-000;"3.614
    pessoas";"3.341
    pessoas";"41,20
    hab/km²";3114709;carvalhopolitano;JOSE ANTONIO DE CARVALHO;1
Caxambu;37440-000;"21.566
    pessoas";"21.705
    pessoas";"216,01
    hab/km²";3115508;caxambuense;DIOGO CURI HAUEGEN;2
Claraval;37997-000;"4.873
    pessoas";"4.542
    pessoas";"19,95
    hab/km²";3116407;claravalense;LUIZ GONZAGA CINTRA;1
Conceição da Aparecida;37148-000;"10.351
    pessoas";"9.820
    pessoas";"27,86
    hab/km²";3117108;aparecidense;JOSE ANTONIO FERREIRA;1
Conceição das Pedras;37527-000;"2.814
    pessoas";"2.749
    pessoas";"26,90
    hab/km²";3117207;pedrense;BENEDITO CARLOS PEREIRA;1
Conceição do Rio Verde;37430-000;"13.729
    pessoas";"12.949
    pessoas";"35,03
    hab/km²";3117702;conceicionense;PEDRO PAULO;1
Conceição dos Ouros;37548-000;"11.852
    pessoas";"10.388
    pessoas";"56,77
    hab/km²";3117801;ourense;LUÍS FERNANDO ROSA DE CASTRO;1
Congonhal;37584-000;"12.209
    pessoas";"10.468
    pessoas";"51,03
    hab/km²";3117900;congonhalense;MOISÉS FERREIRA VAZ;1
Consolação;37670-000;"1.786
    pessoas";"1.727
    pessoas";"19,99
    hab/km²";3118502;consolense;ROGILSON APARECIDO MARQUES NOGUEIRA;1
Coqueiral;37235-000;"9.099
    pessoas";"9.289
    pessoas";"31,36
    hab/km²";3118700;coqueirense;ROSSANO DE OLIVEIRA;1
Cordislândia;37498-000;"3.546
    pessoas";"3.435
    pessoas";"19,13
    hab/km²";3119005;cordislandense;JOSE ODAIR DA SILVA;1
Cristais;37275-000;"13.060
    pessoas";"11.286
    pessoas";"17,96
    hab/km²";3120201;cristalense;DJALMA FRANCISCO CARVALHO;1
Cristina;37476-000;"10.211
    pessoas";"10.210
    pessoas";"32,79
    hab/km²";3120508;cristinense;RICARDO PEREIRA AZEVEDO;1
Cruzília;37445-000;"15.529
    pessoas";"14.591
    pessoas";"27,93
    hab/km²";3120805;cruzilense;JOSÉ CARLOS MACIEL DE ALCKMIN;2
Cássia;37980-000;"17.741
    pessoas";"17.412
    pessoas";"26,15
    hab/km²";3115102;cassiense;RÊMULO CARVALHO PINTO;2
Córrego do Bom Jesus;37605-000;"3.685
    pessoas";"3.730
    pessoas";"30,17
    hab/km²";3119906;correguense;ELIANA DE FATIMA ALVES E SILVA;1
Delfim Moreira;37514-000;"8.007
    pessoas";"7.971
    pessoas";"19,51
    hab/km²";3121100;delfinense;EDILBERTO MARQUES DA CRUZ;1
Delfinópolis;37910-000;"7.146
    pessoas";"6.830
    pessoas";"4,95
    hab/km²";3121209;delfinopolitano;SUELY ALVES FERREIRA LEMOS;1
Divisa Nova;37142-000;"6.039
    pessoas";"5.763
    pessoas";"26,56
    hab/km²";3122405;divisa-novense;JOSE LUIZ DE FIGUEIREDO;1
Dom Viçoso;37474-000;"2.992
    pessoas";"2.994
    pessoas";"26,28
    hab/km²";3122801;dom-viçosense;FRANCISCO ROSINEI PINTO;1
Doresópolis;37926-000;"1.539
    pessoas";"1.440
    pessoas";"9,42
    hab/km²";3123403;doresopolitano;ELITON LUIZ MOREIRA;1
Elói Mendes;37110-000;"28.556
    pessoas";"25.220
    pessoas";"50,49
    hab/km²";3123601;elói-mendense;PAULO ROBERTO BELATO CARVALHO;2
Espírito Santo do Dourado;37566-000;"4.728
    pessoas";"4.429
    pessoas";"16,78
    hab/km²";3124401;douradense;ADALTO LUIS LEAL;1
Estiva;37542-000;"11.416
    pessoas";"10.845
    pessoas";"44,47
    hab/km²";3124500;estivense;VAGNER ABILIO BELIZARIO;1
Extrema;37640-000;"37.649
    pessoas";"28.599
    pessoas";"116,93
    hab/km²";3125101;extremense;JOÃO BATISTA DA SILVA;3
Fama;37144-000;"2.374
    pessoas";"2.350
    pessoas";"27,32
    hab/km²";3125200;famense;OSMAIR LEAL DOS REIS;1
Fortaleza de Minas;37905-000;"4.460
    pessoas";"4.098
    pessoas";"18,73
    hab/km²";3126307;fortalezense;ADENILSON QUEIROZ;1
Gonçalves;37680-000;"4.360
    pessoas";"4.220
    pessoas";"22,52
    hab/km²";3127404;gonçalvense;MARCIO DONIZETTI DE OLIVEIRA;1
Guapé;37177-000;"14.269
    pessoas";"13.872
    pessoas";"14,85
    hab/km²";3128105;guapense;NELSON ALVES LARA;1
Guaranésia;37810-000;"19.014
    pessoas";"18.714
    pessoas";"63,47
    hab/km²";3128303;guaranesiano;LAERCIO CINTRA NOGUEIRA;2
Guaxupé;37800-000;"52.234
    pessoas";"49.430
    pessoas";"172,59
    hab/km²";3128709;guaxupeano;HEBER HAMILTON QUINTELLA;3
Heliodora;37484-000;"6.623
    pessoas";"6.121
    pessoas";"39,76
    hab/km²";3129202;heliodorense;ALEX LEOPOLDINO DE LIMA;1
Ibiraci;37990-000;"14.128
    pessoas";"12.176
    pessoas";"21,66
    hab/km²";3129707;ibiraciense;ISMAEL SILVA CÂNDIDO;1
Ibitiúra de Minas;37790-000;"3.497
    pessoas";"3.382
    pessoas";"49,51
    hab/km²";3129905;ibitiurense;ALEXANDRE DE CASSIO BORGES;1
Ibituruna;37223-000;"3.003
    pessoas";"2.866
    pessoas";"18,72
    hab/km²";3130002;ibiturunense;FRANCISCO ANTONIO PEREIRA;1
Ijaci;37218-000;"6.667
    pessoas";"5.859
    pessoas";"55,67
    hab/km²";3130408;ijaciense;FABIANO DA SILVA MORETI;1
Ilicínea;37175-000;"12.511
    pessoas";"11.488
    pessoas";"30,53
    hab/km²";3130507;ilicineaense;NIRLEI CRISTIANI;1
Inconfidentes;37576-000;"7.387
    pessoas";"6.908
    pessoas";"46,17
    hab/km²";3130606;inconfidentino;ROSÂNGELA MARIA DANTAS;1
Ingaí;37215-000;"2.785
    pessoas";"2.629
    pessoas";"8,60
    hab/km²";3130804;ingaiense;GIULLIANO RIBEIRO PINTO;1
Ipuiúna;37588-000;"10.156
    pessoas";"9.521
    pessoas";"31,93
    hab/km²";3131505;ipuiunense;ELDER CASSIO DE SOUZA OLIVA;1
Itamogi;37973-000;"10.122
    pessoas";"10.349
    pessoas";"42,47
    hab/km²";3132909;itamogiense;RONALDO PEREIRA DIAS;1
Itamonte;37466-000;"15.844
    pessoas";"14.003
    pessoas";"32,43
    hab/km²";3133006;itamontense;ALEXANDRE AUGUSTO MOREIRA SANTOS;2
Itanhandu;37464-000;"15.511
    pessoas";"14.175
    pessoas";"98,87
    hab/km²";3133105;itanhanduense;CARLOS GONÇALVES DA FONSECA;2
Itapeva;37655-000;"9.976
    pessoas";"8.664
    pessoas";"48,85
    hab/km²";3133600;itapevense;DANIEL PEREIRA DO COUTO;1
Itaú de Minas;37975-000;"16.286
    pessoas";"14.945
    pessoas";"97,41
    hab/km²";3133758;itauense;NORIVAL FRANCISCO DE LIMA;2
Itumirim;37210-000;"5.978
    pessoas";"6.139
    pessoas";"26,15
    hab/km²";3134301;itumirinense;CARLOS ALBERTO NASCIMENTO;1
Jacutinga;37590-000;"26.538
    pessoas";"22.772
    pessoas";"65,48
    hab/km²";3134905;jacutinguense;MELQUIADES DE ARAUJO;2
Jacuí;37965-000;"7.695
    pessoas";"7.502
    pessoas";"18,33
    hab/km²";3134806;jacuiense;MARIA CONCEICAO DOS REIS PEREIRA;1
Jesuânia;37485-000;"4.774
    pessoas";"4.768
    pessoas";"30,99
    hab/km²";3135902;jesuanense;JOSÉ LAÉRCIO BRANDÃO DE CASTRO;1
Juruaia;37805-000;"10.795
    pessoas";"9.238
    pessoas";"41,92
    hab/km²";3136900;juruaiense;ÁLVARO MARIANO JÚNIOR;1
Lambari;37480-000;"20.995
    pessoas";"19.554
    pessoas";"91,76
    hab/km²";3137809;lambariense;MARCELO GIOVANI DE SOUSA;2
Liberdade;37350-000;"4.994
    pessoas";"5.346
    pessoas";"13,32
    hab/km²";3138500;libertense;WALTER DE ASSIS TOLEDO JUNIOR;1
Luminárias;37240-000;"5.431
    pessoas";"5.422
    pessoas";"10,84
    hab/km²";3138708;luminarense;ECIO CARVALHO REZENDE;1
Machado;37750-000;"42.682
    pessoas";"38.688
    pessoas";"66,03
    hab/km²";3139003;machadense;MAYCON WILLIAN DA SILVA;3
Madre de Deus de Minas;37305-000;"5.119
    pessoas";"4.904
    pessoas";"9,95
    hab/km²";3139102;madre-deusense;OSMAR DE OLIVEIRA;1
Maria da Fé;37517-000;"14.019
    pessoas";"14.216
    pessoas";"70,06
    hab/km²";3139904;mariense;ADILSON DOS SANTOS;1
